date,year,aircraft_type,category,manoeuvre,fit,mac,loc,fio,obstacle,enviro,weather,bird_strike,structural,mechanical,incapacitation,airshow,practice,air_race,demo,demo_prac,flypast,flypast_prac,photo_opp,race_practice,aero_comp,flight_test,military,civilian,formation_team,drone_show,pilot_error,pilot_killed,pilot_injured,crew_kill,crew_inj,pax_kill,pax_inj,spec_kill,spec_inj,pub_kill,pub_inj,para_killed,para_inj,fatalities,casualties,event_name,location,country,remarks,contributing_factor,man_factor,machine_factor,medium_factor,mission_factor,management_factor,continent
2025-09-20,2025,Pyrotechnics,Drone show,Fireworks / Pyro,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,,,,,,,0,5,Display fireworks,,China,Fireworks display incident: sparks into crowd; injuries reported. Placeholder record; update with verified counts and location.,Operational volume over populated area,0,0,0,0,1,Asia
2025-09-16,2025,XPENG Aeroht eVTOL,eVTOL,Practice,0,1,0,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,,,0,1,Airshow practice,,China,Two Xpeng eVTOLs collide during China air show practice (video link referenced). Casualties unconfirmed at this time.,Mid-air collision during rehearsal,0,0,0,1,0,
2025-08-28,2025,F-16,Fighter Jet,Split-S,0,0,1,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,0,Radom Airshow,Radom,Poland,F-16 crashed in Poland at Radom Airshow; Sunset show.,Sunset show,1,0,0,0,0,Europe
2025-08-14,2025,Extra 300,Sports Aero,Spiral dive,0,0,1,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,0,Durban Airshow,"Suncoast Beach, Durban",South Africa,Pilot crashed into sea off Durban’s Suncoast Beach during airshow. Source: News24 headline. Facts pending confirmation.,,1,0,1,0,0,
2025-07-27,2025,Eurofighter F-2000 Typhoon,Fast jet,Airshow,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Spain,https://www.instagram.com/reel/DMoeycJsNc3/?igsh=MWRhY3Q2eDl3bHkzbQ==,,0,0,1,0,0,
2025-06-14,2025,Eurofighter F-2000 Typhoon,Fast jet,Airshow,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Spain,,,0,0,1,0,0,
2025-06-13,2025,M-339,Fast jet,Airshow,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Spain,,,0,0,1,0,0,
2025-06-06,2025,Morane-Saulnier MS.733 Alcyon,Vintage,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Morane-Saulnier MS.733 Alcyon,France,,,1,0,0,0,0,
2025-05-18,2025,RV-8,Sports Aero,Airshow,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Base Aérea de Campo dos Afonsos, Rio de Janeiro",Brazil,,,0,0,0,0,0,
2025-05-07,2025,F-18,Fast jet,Rehearsal,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Finland,https://airlive.net/military/2025/05/07/alert-a-finnish-f-a-18-hornet-fighter-jet-has-crashed-near-rovaniemi-airport/,,1,0,0,0,0,
2025-05-06,2025,M-339,Fast jet,Airshow,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Italy,https://x.com/vondmedia/status/1919771485951901858,,0,0,0,1,0,
2025-04-30,2025,F-4,Fast jet,Airshow,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Cyprus,Cyprus,https://x.com/theaviationist/status/1917713395882811840?s=46,,0,0,0,0,0,
2025-03-28,2025,Extra 300,Sports Aero,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,Avalon Airshow ,Australia,https://youtu.be/5rS0156d2eI?feature=shared,,1,0,0,0,0,
2025-03-25,2025,Alpha Jet,Fast jet,Training,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,,Saint Dizier,France,https://x.com/ludovicbarbier5/status/1904551198637597024?s=48&t=jVni8R6jQN6zKnDPQGw5UA,,0,0,0,1,0,
2025-03-22,2025,Impala,Vintage,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,South Africa,South Africa,https://x.com/danroodt/status/1903453448416150001?s=48&t=_ZTqNPw_h_PnQadq85iGgA,,1,0,0,0,0,
2025-02-16,2025,A-20G,Vintage,Airshow,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Laredo Intl. Airport, Laredo, Texas, USA.",USA,https://www.facebook.com/share/v/14xiZ8B7qN/?mibextid=wwXIfr,,0,1,0,0,0,
2024-12-20,2024,Drones,Drone Light Show,Display,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Spain,Spain,axarquiaplus.es/accidente-avioneta/,,0,0,0,0,0,
2024-12-15,2024,,Sports Aero,Display,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,China,China,https://www.instagram.com/reel/DDY74-tiwkS/?igsh=MW1wOGJnZndlNTkxYw==,,1,0,0,0,0,
2024-12-14,2024,Drones,Drone Light Show,Rehearsal,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,China,China,,,0,0,0,0,0,
2024-10-20,2024,Extra 300,Sports Aero,Display,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Las Cruces,USA ,,General air show accident,1,0,0,0,0,
2024-10-14,2024,Parachutist,Parachutist,Parachuting,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,San Francisco,USA,,Spectator-related incident,0,0,0,0,0,
2024-10-05,2024,Fokker D.VIII replica,Vintage,Display,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Old Rhinebeck Airport,USA ,,Vintage aircraft vulnerability,0,1,0,0,0,
2024-10-05,2024,F-16,Fast jet,Display,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Adana,Turkiye,Near miss,Close-proximity flying,0,0,0,0,0,
2024-09-13,2024,L-39,Fast jet,Rehearsal,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,,Graf Ignatievo Air Base,Bulgaria,,Training-related accident,1,0,0,0,0,
2024-08-16,2024,Fouga Magister,Vintage,Display,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Le Lavandou,France,,General air show accident,1,0,0,0,0,
2024-07-12,2024,M-346,Fast jet,Rehearsal,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Gdynia-Babie Doly,Poland,,Training-related accident,1,0,0,0,0,
2024-06-29,2024,F-18,Fast jet,Display,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Michigan ,USA,,Bird strike,0,0,1,0,0,
2024-06-15,2024,Lockheed 12A Electra Junior,Vintage,Takeoff,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,,Chino airport,USA ,,Vintage aircraft vulnerability,1,0,0,0,0,
2024-06-02,2024,Yak-52,Sports Aero,Display,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,,Beja airport,Portugal,,Mid-air collision,0,0,0,1,0,
2024-05-25,2024,Spitfire,Vintage,Departure,1,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Coningsby,UK,,Vintage aircraft vulnerability,1,1,0,0,0,
2024-05-25,2024,Ground Vehicle,Ground vehicle,Ground,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,"Parchi di Preturo airport, L'Aquila",Italy,,,0,0,0,0,0,
2024-05-12,2024,L-39,Fast jet,Display,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fort Lauderdale,USA ,,Close-proximity flying,0,0,0,1,0,
2024-05-05,2024,Extra 300,Sports Aero,RTB,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,"Near Alcázar de San Juan, Ciudad Real",Spain,,Wildlife/environmental hazard,0,0,1,0,0,
2024-04-23,2024,AS-555SN & AW139,Helicopter,Flypast,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,10,10,Navy Week,Lumut NAS,Malaysia,,Mid-air collision,0,0,0,1,0,
2024-03-14,2024,F-5,Fast jet,Training,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,Konya,Turkiye,,Training-related accident,1,0,0,0,0,
2023-11-12,2023,L-29,Vintage,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,Aeroclub Villa Cañas Airshow,Aeroclub Villa Cañas,Argentina,"Accident Aero Vodochody L-29 Delfin LV-X468, (aviation-safety.net)",,1,0,0,0,0,
2023-09-17,2023,T-6,Vintage,Air Race,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,Reno National Championship Air Races,Reno ,USA,chttps://www.rgj.com/story/news/2023/09/17/what-we-know-two-planes-crash-at-national-air-races/70887190007/,,0,0,0,1,0,
2023-09-16,2023,M-339,Trainer Jet,Display,0,0,0,0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,Torino Airshow,Torino Airport,Italy,https://theaviationist.com/2023/09/16/frecce-tricolori-jet-crashes/,,0,1,0,0,0,
2023-09-10,2023,T-28,Vintage,Display,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0,0,2,2,Borgond Airport,Szekesfehervar city,Hungary,https://videa.hu/videok/feol/jarmuvek/lezuhant-egy-repulogep-a-fehervari-jmJXoJ8GlubBpqvD?start=0,,1,0,0,0,0,
2023-08-31,2023,F-5,Fighter Jet,Display,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radom Airshow,"Radom, Poland",Poland,BIRD STRIKE !! - PATROUILLE SUISSE AIR SHOW RADOM 2023 - 4K - YouTube,Bird strike,0,0,1,0,0,
2023-08-14,2023,Mig-23,Fighter Jet,Display,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Thunder Over Michigan,Willow Run Airport ,USA,"AlphaFo𝕏 on X: ""BREAKING: A MiG-23 fighter jet crashed @ 4:15 today at the Willow Run Airport of Thunder Over Michigan. The two pilots reportedly ejected during the final performance of tricks. https://t.co/ohCxWZdHVh"" / X (twitter.com)",,1,0,0,0,0,
2023-07-16,2023,Extra 300,Sports Aero,Display,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Kouvola Airshow,Kouvola,Finland,https://www.dailyfinland.fi/national/33257/Pilot-killed-in-Kouvola-airshow-crash,"Tragic Aviation Disaster at an Airshow in Kouvola, Finland. (youtube.com)",1,0,0,0,0,
2023-07-02,2023,T-27 Tucano,Trainer Prop,Display,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Apiay Air Base,Apiay Air Base,Colombia,ALERT Colombian Air Force Tucano aircraft collided mid-air during practice for upcoming airshow (airlive.net),,0,0,0,1,0,
2023-07-02,2023,Su-30,Fighter Jet,Flypast,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,National Air Parade,"Paracotos, Miranda",Venezuela,"Bird strike Accident Sukhoi Su-30MK2V Flanker-G+ 3363, (aviation-safety.net)",Bird strike,0,0,1,0,0,
2023-06-30,2023,Super Decathlon,Light Utility,Display,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,Argentina,"Matías Longoni Una Tragedia En Vivo En Agronea. Habría Dos Muertos. 1674816091716042757 : https://twitter.com/matiaslongoni/ : Free Download, Borrow, and Streaming : Internet Archive",,1,0,0,0,0,
2023-06-15,2023,F-5,Fighter Jet,Display,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Federal Yodelling Festival ,Baar ZG,Switzerland,During aerobatic training: Patrouille Suisse pilots touch each other! (blick.ch),,0,0,0,1,0,
2023-06-03,2023,C-123 Provider ,Vintage,Landing,0,0,0,0,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geneseo Airshow,Geneseo NY,USA,https://theaviationgeekclub.com/video-shows-last-flying-c-123-provider-almost-crashing-while-landing-in-heavy-crosswinds-at-geneseo-airshow/amp/,Crosswind ,0,0,1,0,0,
2023-05-20,2023,F-18,Fighter Jet,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,day of the families of the military.,Zaragoza,Spain,Facebook,,1,0,0,0,0,
2023-04-27,2023,PZL-130,Trainer Prop,Airshow,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opening ceremony of  Radom Airport,"Radom, Poland",Poland,TWO AIRCRAFT OF THE AEROBATIC TEAM ORLIK COLLIDE DURING THE DISPLAY — European Airshows,,0,0,0,1,0,
2023-04-06,2023,Van's RV-7A,Light Utility,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allen Aeroclub Air Festival ,Allen Aeroclub Air Festival ,Argentina,"FL360aero on X: ""That was too close ! A Van's RV-7A aircraft (LV-X722) crashed (dragged) its RH wing meters from the public, at the Allen Aeroclub Air Festival ,Argentina on 06 April - Saturday. #aviation #aircraft #safety https://t.co/rkQakqNMpP"" / X (twitter.com)","Accident Van's RV-7A LV-X722, (aviation-safety.net)",1,0,0,0,0,
2023-03-04,2023,MIG-15,Vintage,Airshow,0,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic Jet Aircraft Association air show,"Fairhope, Alabama",USA,Canopy Flies off Jet Aircraft During Fairhope Air Show | Aviation Pros,TBD,0,1,0,0,0,
2022-12-06,2022,NF-5,Fighter Jet,Training,0,0,0,0,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,,Konya,Turkey,"Military plane crashes in central Türkiye, pilot survives | Daily Sabah",Bird strike,0,0,1,0,0,
2022-11-12,2022,B-17 & P-63,Vintage,Fly Past,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,6,Wings Over Dallas show,Dallas,USA,Investigation underway over midair crash at Dallas air show | AP News,TBD,0,0,0,1,0,
2022-11-05,2022,DHC-1 Chipmunk,Vintage,Fly Past,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Bragado Vuela,Bragado,Argentina,Shocking moment plane smashes into an antenna before crash-landing | Daily Mail Online,Stunt flying,0,0,0,0,0,
2022-09-18,2022,L-29,Trainer Jet,Air Race,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Reno Air Race,Reno ,USA,"Air race pilot mourned, Reno races suspended - AOPA","Mechanical, LOC or GLOC could have been contributed- TBD",1,0,0,0,0,
2022-08-28,2022,Hawk,Trainer Jet,Pairs cross-pass,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rhyl Airshow,North Wales,UK,Bird strike halts Red Arrows flight display at Rhyl Airshow (aerotime.aero),Bird strike,0,0,1,0,0,
2022-08-14,2022,Hawker Hurricane Mk. IV,Vintage,Chandelle Reposition,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"Cheb, Podhrad","Cheb, Podhrad",Czech Republic,"Accident Hawker Hurricane Mk IV OO-HUR, 14 Aug 2022 (aviation-safety.net)",,1,0,0,0,0,
2022-07-09,2022,Hawker Hurricane,Vintage,Flypast,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Buxton, Derbyshire","Buxton, Derbyshire",UK,Drone pilot admits endangering historic plane during RAF flypast | Express & Star (expressandstar.com),Drone,0,0,0,1,0,
2022-06-08,2022,RCAF F-18,Fighter Jet,Display,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wild Wednesday Air Show," Willow Run Airport in Ypsilanti, Michigan",USA,RCAF CF-18 Demo Pilot Saves Aircraft After Real-Life 'Top Gun' Incident at Airshow - The Aviationist,Bird strike,0,0,1,0,0,
2022-05-29,2022,Jetpack,Jetpack,Takeoff,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Biscarosse Show,Biscarosse Lake,France,Franky Zapata: French jetpack inventor injured in lake crash - BBC News,,1,0,0,0,0,
2022-05-22,2022,Rafale,Fighter Jet,Tactical Display,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cognac Airshow,Cognac-Chateaubernard base,France,BREAKING: 2 Rafale Fighters Collide Mid-Air During Airshow; Second Accident Of Dassault Jets Reported In 2022 (eurasiantimes.com),,0,0,0,1,0,
2021-09-04,2021,Stearman,Vintage,Flypast,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Bournemouth Airshow,Bournemouth,United Kingdom,https://www.bbc.com/news/uk-england-dorset-58475187,,0,1,0,0,0,
2021-08-20,2021,North American SNJ–2,Vintage,Takeoff,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1, Great Pocono Raceway Airshow,"Wilkes-Barre/Scranton, Pennsylvania",USA,https://www.aopa.org/news-and-media/all-news/2021/august/23/geico-skytyper-andy-travnicek-killed-in-aircraft-crash,,1,0,0,0,0,
2021-05-09,2021,Stampe SV4.C,Vintage,Unknown,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Headcorn airfield,United Kingdom,https://stampe-formation-team.co.uk/,,1,0,0,0,0,
2021-04-18,2021,1945 TBM Avenger,Vintage torpedo bomber,Flypast,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Cocoa Beach Air Show, Cocoa Beach,USA,Cocoa Beach Air Show plane makes emergency water landing near Patrick (floridatoday.com) ,,0,1,0,0,0,
2021-04-07,2021,NF-5,Fighter Jet,Unknown,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Konya,Turkey,https://theaviationist.com/2021/04/07/turkish-stars-nf-5-jet-crashes-during-training-flight-at-konya-air-base-killing-pilot/,,1,0,0,0,0,
2020-11-17,2020,Jetman?,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,
2020-01-01,2020,Pakistan AF F-16,Fighter Jet,Vertical Reposition,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Independence Day Celebration,Pakistan,Pakistan,,,1,0,0,0,0,
2019-11-01,2019,Grumman OV-1 Mohawk,Vintage Figher Turboprop,Flyby,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Stuart Airshow,Florida,USA,,,1,0,0,0,0,
2019-10-13,2019,Canadair CF-114 Tutor,Trainer Jet,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3rd Atlanta Air Show,Atlanta,USA,,,0,1,0,0,0,
2019-10-09,2019,Mil Mi-35P,Helicopter,Flypast Parade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74th International Armed Forces,Manado,Indonesia,,,0,0,0,0,0,
2019-09-01,2019,Parachutist,Parachuting,Parachuting,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4x4 Expo,Zwartkop,South Africa,,,1,0,0,0,0,
2019-08-31,2019,Nanchang CJ-6 ,Vintage Trainer Propeller,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Smith Hondo Fall Fair,Alberta,Canada,,,1,0,0,0,0,
2019-08-02,2019,Lockheed Martin F-16 ,Fighter Jet,Turning,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder Over Michigan,Michigan,USA,,,0,1,0,0,0,
2019-07-25,2019,Dassault Alpha Jet,Trainer Jet,Landing,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,St Cyprien Air Festival,Perpignan,France,,,0,1,0,0,0,
2019-07-21,2019,Lockheed Martin F-16,Fighter Jet,Turning,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Royal International Air Tattoo,Fairford,UK,,,0,1,0,0,0,
2019-06-15,2019,Yakolev Yak-52,Vintage Trainer Propeller,Spin,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7th Air Picnic,Plock,Poland,,,1,0,0,0,0,
2019-03-17,2019,Jet Truck,Vehicle,Race,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Space Coast Warbird Airshow,Titusville,USA,,,0,1,0,0,0,
2019-03-09,2019,Parachutist,Parachutist,Parachuting,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Honduran Spes Forces,La Union,Honduras,,,0,1,0,0,0,
2019-03-09,2019,North American T-28 Trojan,Vintage Trainer Propeller,Flyby,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,National Motor Sports Championship,,Guatemala,,,1,0,0,0,0,
2019-02-23,2019,Vehicle Car Park,Vehicle,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aero India,Bengaluru,India,,,0,0,1,0,0,
